USPS,GEOID,ANSICODE,NAME,Countym,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
CO,8057,198144,Jackson County,"Jackson County, CO",4179530230,18750017,1613.726,7.239,40.663432,-106.329248
CO,8059,198145,Jefferson County,"Jefferson County, CO",1979623397,25204513,764.337,9.732,39.579511,-105.245462
CO,8061,198146,Kiowa County,"Kiowa County, CO",4578603586,47032918,1767.809,18.16,38.387663,-102.756849
CO,8063,198147,Kit Carson County,"Kit Carson County, CO",5596501939,2251929,2160.822,0.869,39.30534,-102.603023
CO,8065,198149,Lake County,"Lake County, CO",976215867,18111565,376.919,6.993,39.205341,-106.350079
CO,8067,198148,La Plata County,"La Plata County, CO",4376255148,25642578,1689.682,9.901,37.287367,-107.839718
CO,8069,198150,Larimer County,"Larimer County, CO",6723025059,99007869,2595.775,38.227,40.658093,-105.486764
CO,8071,198151,Las Animas County,"Las Animas County, CO",12361852579,6929970,4772.938,2.676,37.318831,-104.04411
CO,8073,198152,Lincoln County,"Lincoln County, CO",6676158660,22780358,2577.679,8.796,38.99374,-103.507555
CO,8075,198153,Logan County,"Logan County, CO",4761947979,16363553,1838.598,6.318,40.728091,-103.090464
CO,8077,198154,Mesa County,"Mesa County, CO",8621849401,31490395,3328.915,12.159,39.019524,-108.460571
CO,8079,198155,Mineral County,"Mineral County, CO",2268209075,5222161,875.76,2.016,37.549067,-107.003236
CO,8081,198156,Moffat County,"Moffat County, CO",12284943819,19803411,4743.244,7.646,40.610864,-108.217154
CO,8083,198157,Montezuma County,"Montezuma County, CO",5255990025,27208195,2029.349,10.505,37.338025,-108.595786
CO,8085,198158,Montrose County,"Montrose County, CO",5804023558,4923260,2240.946,1.901,38.407507,-108.266282
CO,8087,198159,Morgan County,"Morgan County, CO",3316441486,34663098,1280.485,13.383,40.263159,-103.81221
CO,8089,198160,Otero County,"Otero County, CO",3268424427,20092434,1261.946,7.758,37.88417,-103.72126
CO,8091,198161,Ouray County,"Ouray County, CO",1402719363,1599543,541.593,0.618,38.154731,-107.78848
CO,8093,198162,Park County,"Park County, CO",5682182508,43519840,2193.903,16.803,39.118914,-105.717648
CO,8095,198163,Phillips County,"Phillips County, CO",1781724976,301808,687.928,0.117,40.594712,-102.345105
CO,8097,198164,Pitkin County,"Pitkin County, CO",2514104907,6472577,970.701,2.499,39.217538,-106.916159
CO,8099,198165,Prowers County,"Prowers County, CO",4243429484,15345176,1638.397,5.925,37.958181,-102.392161
CO,8101,198166,Pueblo County,"Pueblo County, CO",6179964847,30219283,2386.098,11.668,38.170658,-104.489892
